genus,species,fangs,toxicity,rating,common name
Thelotornis,capensis,rear-fanged,venomous,very dangerous bite,Southern twig snake
Thelotornis,kirtlandii,rear-fanged,venomous,very dangerous bite,Northern twig snake
Thelotornis,mossambicanus,rear-fanged,venomous,very dangerous bite,Mozambique Vine Snake
Thelotornis,usambaricus,rear-fanged,venomous,very dangerous bite,Usambara vine snake
Thrasops,flavigularis,rear-fanged,venomous,unclear dangerousness,Yellow throated Bold eyed Tree snake
Thrasops,jacksonii,rear-fanged,venomous,unclear dangerousness,Black Tree Snake
Thrasops,occidentalis,rear-fanged,venomous,unclear dangerousness,Western Black Tree Snake
Thrasops,schmidti,rear-fanged,venomous,unclear dangerousness,Schmidt’s bold eyed Tree Snake
Toxicodryas,blandingii,rear-fanged,venomous,harmful bite,Blandings Tree Snake
Toxicodryas,pulverulenta,rear-fanged,venomous,harmful bite,Fischer's Cat Snake
Trimorphodon,biscutatus,rear-fanged,venomous,harmful bite,Coastal lyre snake
Trimorphodon,lambda,rear-fanged,venomous,harmful bite,Sonoran Lyre Snake
Trimorphodon,lyrophanes,rear-fanged,venomous,harmful bite,Baja California Lyre Snake
Trimorphodon,paucimaculatus,rear-fanged,venomous,harmful bite,Sinaloan Lyre Snake
Trimorphodon,quadruplex,rear-fanged,venomous,harmful bite,Central American Lyre Snake
Trimorphodon,tau,rear-fanged,venomous,harmful bite,Mexican Lyre Snake
Trimorphodon,vilkinsonii,rear-fanged,venomous,harmful bite,Texas Lyre Snake
Wallaceophis,gujaratensis,rear-fanged,unclear toxicity,???,Wallace’s racer
Xenelaphis,ellipsifer,rear-fanged,unclear toxicity,???,Ocellated Brown Snake
Xenelaphis,hexagonotus,rear-fanged,unclear toxicity,???,Malaysian Brown Snake
Xyelodontophis,uluguruensis,rear-fanged,unclear toxicity,???,Dagger tooth Vine Snake
Zamenis,hohenackeri,rear-fanged,unclear toxicity,???,Transcaucasian rat snake
Zamenis,lineatus,rear-fanged,unclear toxicity,???,Italian Aesculapian snake
Zamenis,longissimus,rear-fanged,unclear toxicity,???,Aesculapian snake
Zamenis,persicus,rear-fanged,unclear toxicity,???,Persian Rat Snake
Zamenis,scalaris,rear-fanged,unclear toxicity,???,Ladder Snake
Zamenis,situla,rear-fanged,unclear toxicity,???,Leopard snake
Grayia,caesar,rear-fanged,unclear toxicity,???,Caesar's African Water Snake
Grayia,ornata,rear-fanged,unclear toxicity,???,Ornate African Water Snake
Grayia,smithii,rear-fanged,unclear toxicity,???,Smith's African Water Snake
Grayia,tholloni,rear-fanged,unclear toxicity,???,Tholloni's African Water Snake
Blythia,hmuifang,rear-fanged,unclear toxicity,???,Mizoram Ground Snake
Blythia,reticulata,rear-fanged,unclear toxicity,???,Blyth's Reticulate Snake
Cyclocorus,lineatus,rear-fanged,unclear toxicity,???,Reinhardt's Lined Snake
Cyclocorus,nuchalis,rear-fanged,unclear toxicity,???,Southern Triangle spotted Snake
Elapoidis,fusca,rear-fanged,unclear toxicity,???,Dark Grey Ground Snake
Gongylosoma,baliodeirus,rear-fanged,unclear toxicity,???,Striped Ringneck
Gongylosoma,longicaudum,rear-fanged,unclear toxicity,???,Long tailed Ringneck
Gongylosoma,mukutense,rear-fanged,unclear toxicity,???,Mukut Smooth Snake
Gongylosoma,nicobariensis,rear-fanged,unclear toxicity,???,Nicobar Ground Snake
Gongylosoma,scriptum,rear-fanged,unclear toxicity,???,Common Ringneck
Helophis,schoutedeni,rear-fanged,unclear toxicity,???,Schouteden's Sun Snake
Myersophis,alpestris,"rear-fanged, non-fanged",unclear toxicity,???,Myer's Snake
Oreocalamus,hanitschi,rear-fanged,unclear toxicity,???,Kalimantan Burrowing Snake
Poecilopholis,cameronensis,rear-fanged,unclear toxicity,???,Cameroon Racer
Rhabdops,aquaticus,rear-fanged,unclear toxicity,???,Water Rhabdops
Rhabdops,bicolor,rear-fanged,unclear toxicity,???,Brown Trapezoid Snake
Rhabdops,olivaceus,rear-fanged,unclear toxicity,???,Olive Trapezoid Snake
Tetralepis,fruhstorferi,rear-fanged,unclear toxicity,???,Bluebelly Java Snake
Adelophis,copei,rear-fanged,unclear toxicity,???,Cope's Mountain Meadow Snake
Adelophis,foxi,rear-fanged,unclear toxicity,???,Fox's Mountain Meadow Snake
Afronatrix,anoscopus,rear-fanged,unclear toxicity,???,African Brown Water Snake
Amphiesma,stolatum,rear-fanged,venomous,harmful bite,Buff Striped Keelback
Amphiesmoides,ornaticeps,rear-fanged,unclear toxicity,???,Werner's Ornate Snake
Anoplohydrus,aemulans,rear-fanged,unclear toxicity,???,Sumatran Keelback
Aspidura,brachyorrhos,rear-fanged,unclear toxicity,???,Boie's Rough sided Snake
Aspidura,ceylonensis,rear-fanged,unclear toxicity,???,Ceylon Keelback
Aspidura,copei,rear-fanged,unclear toxicity,???,Cope's Rough side
Aspidura,deraniyagalae,rear-fanged,non-venomous,unclear dangerousness,Sri Lanka Rough sided Snake
Aspidura,drummondhayi,rear-fanged,non-venomous,unclear dangerousness,Drummond Hay's Rough sided Snake
Aspidura,guentheri,rear-fanged,non-venomous,unclear dangerousness,Günther's Rough sided Snake
Aspidura,ravanai,rear-fanged,unclear toxicity,???,
Aspidura,trachyprocta,rear-fanged,non-venomous,unclear dangerousness,Common Rough sided Snake
Atretium,schistosum,rear-fanged,non-venomous,unclear dangerousness,Olive keelback wart snake
Atretium,yunnanensis,rear-fanged,unclear toxicity,???,Yunnan Olive Keelback
Balanophis,ceylonensis,rear-fanged,venomous,dangerous bite,Blossom Krait
Clonophis,kirtlandii,rear-fanged,unclear toxicity,???,Kirtland's Red Snake
Haldea,striatula,rear-fanged,unclear toxicity,???,Rough Earth Snake
Hebius,andreae,rear-fanged,unclear toxicity,???,Andrea’s Keelback
Hebius,arquus,rear-fanged,unclear toxicity,???,Bornean Keelback
Hebius,atemporale,rear-fanged,unclear toxicity,???,Tonkin Keelback
Hebius,beddomei,rear-fanged,unclear toxicity,???,Beddome’s Keelback
Hebius,bitaeniatum,rear-fanged,unclear toxicity,???,Kutkai Keelback
Hebius,boulengeri,rear-fanged,unclear toxicity,???,Boulenger’s keelback
Hebius,celebicum,rear-fanged,unclear toxicity,???,Sulawesi Keelback
Hebius,clerki,rear-fanged,unclear toxicity,???,Yunnan Keelback
Hebius,concelarum,rear-fanged,unclear toxicity,???,Miyako Islands Keelback
Hebius,craspedogaster,rear-fanged,unclear toxicity,???,Kuatun Keelback
Hebius,deschauenseei,rear-fanged,unclear toxicity,???,Northern Keelback
Hebius,flavifrons,rear-fanged,unclear toxicity,???,Sabah Keelback
Hebius,frenatum,rear-fanged,unclear toxicity,???,Bridled Keelback
Hebius,groundwateri,rear-fanged,unclear toxicity,???,Groundwater's Keelback
Hebius,inas,rear-fanged,unclear toxicity,???,Malayan Mountain Keelback
Hebius,ishigakiense,rear-fanged,unclear toxicity,???,Yaeyama keelback
Hebius,johannis,rear-fanged,unclear toxicity,???,Johann's Keelback
Hebius,kerinciense,rear-fanged,unclear toxicity,???,Mount Kerinci snake
Hebius,khasiense,rear-fanged,unclear toxicity,???,Khasi Hills Keelback
Hebius,leucomystax,rear-fanged,unclear toxicity,???,White lipped Keelback
Hebius,metusium,rear-fanged,unclear toxicity,???,Sichuan Keelback
Hebius,miyajimae,rear-fanged,unclear toxicity,???,Maki's Keelback
Hebius,modestum,rear-fanged,unclear toxicity,???,Modest Keelback
Hebius,monticola,rear-fanged,unclear toxicity,???,Wynad Keelback
Hebius,nicobariense,rear-fanged,unclear toxicity,???,Nicobar Island Keelback
Hebius,octolineatum,rear-fanged,unclear toxicity,???,Eight lined Keelback
Hebius,optatum,rear-fanged,unclear toxicity,???,Mount Omei Keelback
Hebius,parallelum,rear-fanged,unclear toxicity,???,Yunnan Keelback
Hebius,pealii,rear-fanged,unclear toxicity,???,Assam Keelback
Hebius,petersii,rear-fanged,unclear toxicity,???,Peters' Keelback
Hebius,popei,rear-fanged,unclear toxicity,???,Pope's Keelback
Hebius,pryeri,rear-fanged,unclear toxicity,???,Pryer's Keelback
Hebius,sanguineum,rear-fanged,unclear toxicity,???,Cameroon Keelback
Hebius,sarasinorum,rear-fanged,unclear toxicity,???,Sarasin’s Keelback
Hebius,sarawacense,rear-fanged,unclear toxicity,???,Sarawak Keelback
Hebius,sauteri,rear-fanged,unclear toxicity,???,Kosempo Keelback
Hebius,taronense,rear-fanged,unclear toxicity,???,Kachin Keelback
Hebius,venningi,rear-fanged,unclear toxicity,???,Chin Hills Keelback
Hebius,vibakari,rear-fanged,unclear toxicity,???,Japanese Keelback
Hebius,viperinum,rear-fanged,unclear toxicity,???,Viperine Hebius
Hebius,xenura,rear-fanged,unclear toxicity,???,Wall's Keelback
Herpetoreas,burbrinki,rear-fanged,unclear toxicity,???,Burbrink’s Keelback
Herpetoreas,platyceps,rear-fanged,unclear toxicity,???,Himalayan keelback
Herpetoreas,sieboldii,rear-fanged,unclear toxicity,???,Siebold’s Keelback
Hologerrhum,dermali,rear-fanged,unclear toxicity,???,Dermal's philippine water snake
Hologerrhum,philippinum,rear-fanged,unclear toxicity,???,Philippine Stripe lipped Snake
Hydrablabes,periops,rear-fanged,unclear toxicity,???,Olive Small eyed Snake
Hydrablabes,praefrontalis,rear-fanged,unclear toxicity,???,Mocquard's Small eyed Snake
Hydraethiops,laevis,rear-fanged,unclear toxicity,???,Ocellate Water Snake
Hydraethiops,melanogaster,rear-fanged,unclear toxicity,???,Blackbelly Snake
Iguanognathus,werneri,rear-fanged,unclear toxicity,???,Spatula tooth Snake
Isanophis,boonsongi,rear-fanged,unclear toxicity,???,Boomsong’s Stream Snake
Liodytes,alleni,rear-fanged,unclear toxicity,???,Striped Crayfish Snake
Liodytes,pygaea,rear-fanged,unclear toxicity,???,Black Swamp Snake
Liodytes,rigida,rear-fanged,unclear toxicity,???,Glossy Crayfish Snake
Lycognathophis,seychellensis,rear-fanged,unclear toxicity,???,Seychelles Wolf Snake
Macropisthodon,flaviceps,rear-fanged,venomous,dangerous bite,Orange necked keelback
Macropisthodon,plumbicolor,rear-fanged,venomous,dangerous bite,Green keelback
Macropisthodon,rhodomelas,rear-fanged,venomous,dangerous bite,Blueneck Keelback
Macropisthodon,rudis,rear-fanged,venomous,dangerous bite,False Habu
Natriciteres,bipostocularis,rear-fanged,unclear toxicity,???,Southwestern Forest Marsh Snake
Natriciteres,fuliginoides,rear-fanged,unclear toxicity,???,Forest Marsh Snake
Natriciteres,olivacea,rear-fanged,unclear toxicity,???,Olive Marsh Snake
Natriciteres,pembana,rear-fanged,unclear toxicity,???,Variable Marsh Snake
Natriciteres,sylvatica,rear-fanged,unclear toxicity,???,Forest Marsh Snake
Natriciteres,variegata,rear-fanged,unclear toxicity,???,Variable Marsh Snake
Natrix,maura,rear-fanged,venomous,considered harmless,Viperine Water Snake
Natrix,natrix,rear-fanged,venomous,considered harmless,Grass snake
Natrix,tessellata,rear-fanged,venomous,considered harmless,Dice snake
Nerodia,clarkii,rear-fanged,unclear toxicity,???,Salt Marsh Snake
Nerodia,cyclopion,rear-fanged,unclear toxicity,???,Mississippi green water snake
Nerodia,erythrogaster,rear-fanged,unclear toxicity,???,Plainbelly Water Snake
Nerodia,fasciata,rear-fanged,unclear toxicity,???,Southern water snake
Nerodia,floridana,rear-fanged,unclear toxicity,???,Florida Green Water Snake
Nerodia,harteri,rear-fanged,unclear toxicity,???,Brazos Water Snake
Nerodia,paucimaculata,rear-fanged,unclear toxicity,???,Concho Water Snake
Nerodia,rhombifer,rear-fanged,unclear toxicity,???,Diamondback Water Snake
Nerodia,sipedon,rear-fanged,unclear toxicity,???,Northern Water Snake
Nerodia,taxispilota,rear-fanged,unclear toxicity,???,American Brown Water Snake
Opisthotropis,alcalai,rear-fanged,unclear toxicity,???,Gary's Mountain Keelback
Opisthotropis,andersonii,rear-fanged,unclear toxicity,???,Anderson's Mountain Keelback
Opisthotropis,atra,rear-fanged,unclear toxicity,???,Black stream snake
Opisthotropis,balteata,rear-fanged,unclear toxicity,???,Hainan Mountain Keelback
Opisthotropis,cheni,rear-fanged,unclear toxicity,???,Guangdong Stream Snake
Opisthotropis,cucae,rear-fanged,unclear toxicity,???,Cuc’s Mountain Snake
Opisthotropis,daovantieni,rear-fanged,unclear toxicity,???,Tien’s mountain stream snake
Opisthotropis,durandi,rear-fanged,unclear toxicity,???,Durand’s Mountain Stream Snake
Opisthotropis,guangxiensis,rear-fanged,unclear toxicity,???,Guangxi Mountain Keelback
Opisthotropis,jacobi,rear-fanged,unclear toxicity,???,Chapa Mountain Keelback
Opisthotropis,kikuzatoi,rear-fanged,unclear toxicity,???,Kikuzato’s Stream Snake
Opisthotropis,kuatunensis,rear-fanged,unclear toxicity,???,Chinese Mountain Keelback
Opisthotropis,lateralis,rear-fanged,unclear toxicity,???,Tonkin Mountain Keelback
Opisthotropis,latouchii,rear-fanged,unclear toxicity,???,Sichuan Mountain Keelback
Opisthotropis,laui,rear-fanged,unclear toxicity,???,Lau’s Mountain Stream Snake
Opisthotropis,maculosa,rear-fanged,unclear toxicity,???,Yellow spotted mountain stream snake
Opisthotropis,maxwelli,rear-fanged,unclear toxicity,???,Maxwell's Mountain Keelback
Opisthotropis,rugosa,rear-fanged,unclear toxicity,???,Javanese Stream Snake
Opisthotropis,shenzhenensis,rear-fanged,unclear toxicity,???,Shenzhen mountain stream snake
Opisthotropis,spenceri,rear-fanged,unclear toxicity,???,Smith's Mountain Keelback
Opisthotropis,tamdaoensis,rear-fanged,unclear toxicity,???,Tam Dao Stream Snake
Opisthotropis,typica,rear-fanged,unclear toxicity,???,Olive Mountain Keelback
Opisthotropis,voquyi,rear-fanged,unclear toxicity,???,
Opisthotropis,zhaoermii,rear-fanged,unclear toxicity,???,
Parahelicops,annamensis,rear-fanged,unclear toxicity,???,Annam Keelback
Pararhabdophis,chapaensis,rear-fanged,unclear toxicity,???,Vietnam Water Snake
Paratapinophis,praemaxillaris,rear-fanged,unclear toxicity,???,Brown Stream Snake
Regina,grahamii,rear-fanged,unclear toxicity,???,Graham's Crayfish Snake
Regina,septemvittata,rear-fanged,unclear toxicity,???,Queen Snake
Rhabdophis,adleri,rear-fanged,venomous,dangerous bite,Adler's Keelback
Rhabdophis,akraios,rear-fanged,venomous,dangerous bite,Singalang Keelback
Rhabdophis,angeli,rear-fanged,venomous,dangerous bite,Angel's Keelback
Rhabdophis,auriculata,rear-fanged,venomous,dangerous bite,70ref
Rhabdophis,barbouri,rear-fanged,venomous,dangerous bite,Barbour's Keelback
Rhabdophis,callichroma,rear-fanged,venomous,dangerous bite,Bavi Keelback
Rhabdophis,callistus,rear-fanged,venomous,dangerous bite,Boettger’s Keelback
Rhabdophis,chrysargoides,rear-fanged,venomous,dangerous bite,Sahul Keelback
Rhabdophis,chrysargos,rear-fanged,venomous,dangerous bite,Specklebelly Keelback
Rhabdophis,conspicillatus,rear-fanged,venomous,dangerous bite,Red bellied Keelback
Rhabdophis,guangdongensis,rear-fanged,venomous,dangerous bite,Guangdong Keelback
Rhabdophis,himalayanus,rear-fanged,venomous,dangerous bite,Orange collared keelback
Rhabdophis,leonardi,rear-fanged,venomous,dangerous bite,Leonard's Keelback
Rhabdophis,lineatus,rear-fanged,venomous,dangerous bite,Striped Keelback
Rhabdophis,murudensis,rear-fanged,venomous,dangerous bite,Muruden keelback
Rhabdophis,nigrocinctus,rear-fanged,venomous,dangerous bite,Black striped keelback
Rhabdophis,nuchalis,rear-fanged,venomous,dangerous bite,Hubei keelback
Rhabdophis,pentasupralabialis,rear-fanged,venomous,dangerous bite,Jiulong keelback
Rhabdophis,spilogaster,rear-fanged,venomous,dangerous bite,Boie's Keelback
Rhabdophis,subminiatus,rear-fanged,venomous,dangerous bite,Red necked keelback
Rhabdophis,swinhonis,rear-fanged,venomous,dangerous bite,Swinhoe's Grass Snake
Rhabdophis,tigrinus,rear-fanged,venomous,dangerous bite,Tiger keelback
Sinonatrix,aequifasciata,rear-fanged,unclear toxicity,???,Asiatic Water Snake
Sinonatrix,annularis,rear-fanged,unclear toxicity,???,Ringed Water Snake
Sinonatrix,percarinata,rear-fanged,unclear toxicity,???,Olive Keelback
Sinonatrix,yunnanensis,rear-fanged,unclear toxicity,???,Yunnan Keelback Water Snake
Storeria,dekayi,rear-fanged,unclear toxicity,???,Dekay's Brown Snake
Storeria,hidalgoensis,rear-fanged,unclear toxicity,???,Mexican Yellowbelly Brown Snake
Storeria,occipitomaculata,rear-fanged,unclear toxicity,???,Redbelly Snake
Storeria,storerioides,rear-fanged,unclear toxicity,???,Mexican Brown Snake
Storeria,victa,rear-fanged,unclear toxicity,???,Florida brown snake
Thamnophis,atratus,rear-fanged,venomous,unclear dangerousness,Santa Cruz Garter Snake
Thamnophis,bogerti,rear-fanged,venomous,unclear dangerousness,Bogert's Garter Snake
Thamnophis,brachystoma,rear-fanged,venomous,unclear dangerousness,Shorthead Garter Snake
Thamnophis,butleri,rear-fanged,venomous,unclear dangerousness,Butler's Garter Snake
Thamnophis,chrysocephalus,rear-fanged,venomous,unclear dangerousness,Goldenhead Garter Snake
Thamnophis,conanti,rear-fanged,venomous,unclear dangerousness,Conant's Garter Snake
Thamnophis,couchii,rear-fanged,venomous,harmful bite,Sierra Garter Snake
Thamnophis,cyrtopsis,rear-fanged,venomous,unclear dangerousness,Blackneck Garter Snake
Thamnophis,elegans,rear-fanged,venomous,harmful bite,Western Terrestrial Garter Snake
Thamnophis,eques,rear-fanged,venomous,unclear dangerousness,Mexican Garter Snake
Thamnophis,errans,rear-fanged,venomous,unclear dangerousness,Mexican wandering garter snake
Thamnophis,exsul,rear-fanged,venomous,unclear dangerousness,Montane Garter Snake
Thamnophis,fulvus,rear-fanged,venomous,unclear dangerousness,Highland Garter Snake
Thamnophis,gigas,rear-fanged,venomous,unclear dangerousness,Giant Garter Snake
Thamnophis,godmani,rear-fanged,venomous,unclear dangerousness,Godman's Garter Snake
Thamnophis,hammondii,rear-fanged,venomous,unclear dangerousness,Two striped Garter Snake
Thamnophis,lineri,rear-fanged,venomous,unclear dangerousness,Liner's Garter Snake
Thamnophis,marcianus,rear-fanged,venomous,unclear dangerousness,Checkered Garter Snake
Thamnophis,melanogaster,rear-fanged,venomous,unclear dangerousness,Blackbelly Garter Snake
Thamnophis,mendax,rear-fanged,venomous,unclear dangerousness,Tamaulipan Montane Garter Snake
Thamnophis,nigronuchalis,rear-fanged,venomous,unclear dangerousness,Southern Durango Spotted Garter Snake
Thamnophis,ordinoides,rear-fanged,venomous,unclear dangerousness,Northwestern Garter Snake
Thamnophis,postremus,rear-fanged,venomous,unclear dangerousness,Tepalcatepec Valley Garter Snake
Thamnophis,proximus,rear-fanged,venomous,unclear dangerousness,Western Ribbon Snake
Thamnophis,pulchrilatus,rear-fanged,venomous,unclear dangerousness,Yellow throated gartersnake
Thamnophis,radix,rear-fanged,venomous,unclear dangerousness,Plains Gartersnake
Thamnophis,rossmani,rear-fanged,venomous,unclear dangerousness,Rossman's Garter Snake
Thamnophis,rufipunctatus,rear-fanged,venomous,unclear dangerousness,Narrowhead Garter Snake
Thamnophis,saurita,rear-fanged,venomous,unclear dangerousness,Eastern ribbon snake
Thamnophis,scalaris,rear-fanged,venomous,unclear dangerousness,Longtail Alpine Garter Snake
Thamnophis,scaliger,rear-fanged,venomous,unclear dangerousness,Short tail Alpine Garter Snake
Thamnophis,sirtalis,rear-fanged,venomous,harmful bite,Common Garter Snake
Thamnophis,sumichrasti,rear-fanged,venomous,unclear dangerousness,Sumichrast's Garter Snake
Thamnophis,unilabialis,rear-fanged,venomous,unclear dangerousness,Madrean narrowheaded garter snake
Thamnophis,validus,rear-fanged,venomous,unclear dangerousness,West Coast Garter Snake
Trachischium,fuscum,rear-fanged,unclear toxicity,???,Blackbelly Worm eating Snake
Trachischium,guentheri,rear-fanged,unclear toxicity,???,Rosebelly Worm eating Snake
Trachischium,laeve,rear-fanged,unclear toxicity,???,Olive Oriental Slender Snake
Trachischium,monticola,rear-fanged,unclear toxicity,???,Mountain Worm eating Snake
Trachischium,sushantai,rear-fanged,unclear toxicity,???,
Trachischium,tenuiceps,rear-fanged,unclear toxicity,???,Yellowbelly Worm eating Snake
Tropidoclonion,lineatum,rear-fanged,unclear toxicity,???,Lined Snake
Tropidonophis,aenigmaticus,rear-fanged,unclear toxicity,???,East Papuan keelback
Tropidonophis,dahlii,rear-fanged,unclear toxicity,???,New Britain keelback
Tropidonophis,dendrophiops,rear-fanged,unclear toxicity,???,Spotted Water Snake
Tropidonophis,dolasii,rear-fanged,unclear toxicity,???,D'Entrecasteaux Islands Keelback
Tropidonophis,doriae,rear-fanged,unclear toxicity,???,Barred keelback
Tropidonophis,elongatus,rear-fanged,unclear toxicity,???,Moluccan keelback
Tropidonophis,halmahericus,rear-fanged,unclear toxicity,???,Red spotted Keelback
Tropidonophis,hypomelas,rear-fanged,unclear toxicity,???,Bismarck keelback
Tropidonophis,mairii,rear-fanged,unclear toxicity,???,Common keelback
Tropidonophis,mcdowelli,rear-fanged,unclear toxicity,???,Northern New Guinea keelback
Tropidonophis,montanus,rear-fanged,unclear toxicity,???,North Irian montane keelback
Tropidonophis,multiscutellatus,rear-fanged,unclear toxicity,???,Many scaled keelback
Tropidonophis,negrosensis,rear-fanged,unclear toxicity,???,Negros Spotted Water Snake
Tropidonophis,novaeguineae,rear-fanged,unclear toxicity,???,New Guinea keelback
Tropidonophis,parkeri,rear-fanged,unclear toxicity,???,Highland keelback
Tropidonophis,picturatus,rear-fanged,unclear toxicity,???,Painted Keelback
Tropidonophis,punctiventris,rear-fanged,unclear toxicity,???,Halmahera Keelback
Tropidonophis,statisticus,rear-fanged,unclear toxicity,???,Montane keelback
Tropidonophis,truncatus,rear-fanged,unclear toxicity,???,Truncated Keelback
Virginia,valeriae,rear-fanged,unclear toxicity,???,Eastern Smooth Earth Snake
Xenochrophis,asperrimus,rear-fanged,venomous,unclear dangerousness,Boulenger's Keelback
Xenochrophis,bellulus,rear-fanged,venomous,unclear dangerousness,Burmese Keelback Water Snake
Xenochrophis,cerasogaster,rear-fanged,venomous,unclear dangerousness,Painted Keelback
Xenochrophis,flavipunctatus,rear-fanged,venomous,unclear dangerousness,Yellow Spotted Keelback
Xenochrophis,maculatus,rear-fanged,venomous,unclear dangerousness,Spotted Keelback
Xenochrophis,melanzostus,rear-fanged,venomous,unclear dangerousness,Andaman Keelback
Xenochrophis,piscator,rear-fanged,venomous,unclear dangerousness,Checkered Keelback
Xenochrophis,punctulatus,rear-fanged,venomous,unclear dangerousness,Spotted Keelback Water Snake
Xenochrophis,sanctijohannis,rear-fanged,venomous,unclear dangerousness,St. John's Keelback
Xenochrophis,schnurrenbergeri,rear-fanged,venomous,unclear dangerousness,Bar necked Keelback
Xenochrophis,trianguligerus,rear-fanged,venomous,unclear dangerousness,Triangle Keelback
Xenochrophis,tytleri,rear-fanged,venomous,unclear dangerousness,Tytler’s Keelback
Xenochrophis,vittatus,rear-fanged,venomous,unclear dangerousness,Striped Keelback
Plagiopholis,blakewayi,rear-fanged,unclear toxicity,???,Blakeway’s Mountain Snake
Plagiopholis,delacouri,rear-fanged,unclear toxicity,???,Delacour's mountain snake
Plagiopholis,nuchalis,rear-fanged,unclear toxicity,???,Assam Mountain Snake
Plagiopholis,styani,rear-fanged,unclear toxicity,???,Chinese Mountain Snake
Pseudoxenodon,bambusicola,rear-fanged,unclear toxicity,???,Bamboo snake
Pseudoxenodon,baramensis,rear-fanged,unclear toxicity,???,Baramen Bamboo Snake
Pseudoxenodon,inornatus,rear-fanged,unclear toxicity,???,Javanese False Cobra
Pseudoxenodon,karlschmidti,rear-fanged,unclear toxicity,???,Chinese Bamboo Snake
Pseudoxenodon,macrops,rear-fanged,unclear toxicity,???,Mock Cobra
Pseudoxenodon,stejnegeri,rear-fanged,venomous,unclear dangerousness,Stejneger's Bamboo Snake
Thermophis,baileyi,rear-fanged,unclear toxicity,???,Xizang Hot spring Keel back
Thermophis,shangrila,rear-fanged,unclear toxicity,???,Shangri-La hot spring snake
Thermophis,zhaoermii,rear-fanged,unclear toxicity,???,Sichuan Hot spring Keel back
Scaphiodontophis,annulatus,rear-fanged,non-venomous,unclear dangerousness,Guatemala Neckband Snake
Scaphiodontophis,venustissimus,rear-fanged,non-venomous,unclear dangerousness,Common Neckband Snake
Sibynophis,bistrigatus,rear-fanged,unclear toxicity,???,Günther's Many tooth Snake
Sibynophis,bivittatus,rear-fanged,unclear toxicity,???,White striped Snake
Sibynophis,chinensis,rear-fanged,unclear toxicity,???,Chinese Many tooth Snake
Sibynophis,collaris,rear-fanged,unclear toxicity,???,Common Many tooth Snake
Sibynophis,geminatus,rear-fanged,unclear toxicity,???,Boie's Many tooth Snake
Sibynophis,melanocephalus,rear-fanged,unclear toxicity,???,Malayan Many toothed Snake
Sibynophis,sagittarius,rear-fanged,unclear toxicity,???,Cantor’s black headed snake
Sibynophis,subpunctatus,rear-fanged,unclear toxicity,???,Black Headed Snake
Sibynophis,triangularis,rear-fanged,unclear toxicity,???,Triangulate Collared Snake
Adelphicos,daryi,rear-fanged,unclear toxicity,???,Dary's Burrowing Snake
Adelphicos,ibarrorum,rear-fanged,unclear toxicity,???,Quiché Burrowing Snake
Adelphicos,latifasciatum,rear-fanged,unclear toxicity,???,Oaxacan Burrowing Snake
Adelphicos,newmanorum,rear-fanged,unclear toxicity,???,Middle American Burrowing Snake
Adelphicos,nigrilatum,rear-fanged,unclear toxicity,???,Burrowing Snake
Adelphicos,quadrivirgatum,rear-fanged,unclear toxicity,???,Middle American Burrowing Snake
Adelphicos,sargii,rear-fanged,unclear toxicity,???,Sargi’s earth snake
Adelphicos,veraepacis,rear-fanged,unclear toxicity,???,Stuart's Burrowing Snake
Adelphicos,visoninum,rear-fanged,unclear toxicity,???,Middle American Burrowing Snake
Alsophis,antiguae,rear-fanged,venomous,harmful bite,Antiguan Racer
Alsophis,antillensis,rear-fanged,venomous,harmful bite,Antilles Racer
Alsophis,danforthi,rear-fanged,venomous,harmful bite,Danforth's Racer
Alsophis,manselli,rear-fanged,venomous,harmful bite,Montserrat Racer
Alsophis,rijgersmaei,rear-fanged,venomous,harmful bite,Leeward Island Racer
Alsophis,rufiventris,rear-fanged,venomous,harmful bite,Orange bellied Racer
Alsophis,sajdaki,rear-fanged,venomous,harmful bite,Great Bird Island Racer
Alsophis,sanctonum,rear-fanged,venomous,harmful bite,Terre De Haut Racer
Alsophis,sibonius,rear-fanged,venomous,harmful bite,Dominican Racer
Amastridium,sapperi,rear-fanged,unclear toxicity,???,Rusty headed snake
Amastridium,veliferum,rear-fanged,unclear toxicity,???,Rustyhead Snake
Amnesteophis,melanauchen,rear-fanged,unclear toxicity,???,Bahia Black naped Snake
Apostolepis,albicollaris,rear-fanged,unclear toxicity,???,White collared Blackhead
Apostolepis,ambiniger,rear-fanged,unclear toxicity,???,Paraguayan Blackhead
Apostolepis,ammodites,rear-fanged,unclear toxicity,???,Tocantins Blackhead
Apostolepis,arenaria,rear-fanged,unclear toxicity,???,Sand Dunes Blackhead
Apostolepis,assimilis,rear-fanged,unclear toxicity,???,Reinhardt's Burrowing Snake
Apostolepis,borellii,rear-fanged,unclear toxicity,???,Borrelli's burrowing snake
Apostolepis,breviceps,rear-fanged,unclear toxicity,???,Chaco Blackhead
Apostolepis,cearensis,rear-fanged,unclear toxicity,???,Gomes' Burrowing Snake
Apostolepis,cerradoensis,rear-fanged,unclear toxicity,???,Cerrado Blackhead
Apostolepis,christineae,rear-fanged,unclear toxicity,???,Christine's blackhead
Apostolepis,dimidiata,rear-fanged,unclear toxicity,???,Common Bilineate Blackhead
Apostolepis,dorbignyi,rear-fanged,unclear toxicity,???,Bolivian Burrowing Snake
