genus,species,fangs,toxicity,rating,common name
Calamaria,brongersmai,rear-fanged,unclear toxicity,???,Brongersma’s Reed Snake
Calamaria,buchi,rear-fanged,unclear toxicity,???,Dalat Dwarf Snake
Calamaria,butonensis,rear-fanged,unclear toxicity,???,Buton Reed Snake
Calamaria,ceramensis,rear-fanged,unclear toxicity,???,Seram Reed Snake
Calamaria,concolor,rear-fanged,unclear toxicity,???,Bach Ma Reed Snake
Calamaria,crassa,rear-fanged,unclear toxicity,???,Thick Reed Snake
Calamaria,curta,rear-fanged,unclear toxicity,???,Dark bellied Reed Snake
Calamaria,doederleini,rear-fanged,unclear toxicity,???,Döderlein's Reed Snake
Calamaria,eiselti,rear-fanged,unclear toxicity,???,Eiselt's Reed Snake
Calamaria,everetti,rear-fanged,unclear toxicity,???,Everett's Reed Snake
Calamaria,forcarti,rear-fanged,unclear toxicity,???,Forcart's Reed Snake
Calamaria,gervaisii,rear-fanged,unclear toxicity,???,Philippine Dwarf Snake
Calamaria,gialaiensis,rear-fanged,unclear toxicity,???,Gia Lai reed snake
Calamaria,grabowskyi,rear-fanged,unclear toxicity,???,Grabowsky's Reed Snake
Calamaria,gracillima,rear-fanged,unclear toxicity,???,Slender Reed Snake
Calamaria,griswoldi,rear-fanged,unclear toxicity,???,Lined Reed Snake
Calamaria,hilleniusi,rear-fanged,unclear toxicity,???,Samarinda Reed Snake
Calamaria,ingeri,rear-fanged,unclear toxicity,???,Tioman Reed Snake
Calamaria,javanica,rear-fanged,unclear toxicity,???,Javanese Reed Snake
Calamaria,joloensis,rear-fanged,unclear toxicity,???,Jolo Worm Snake
Calamaria,lateralis,rear-fanged,unclear toxicity,???,White striped Reed Snake
Calamaria,lautensis,rear-fanged,unclear toxicity,???,Cocos Island Reed Snake
Calamaria,leucogaster,rear-fanged,unclear toxicity,???,Ampat Lawang Dwarf Snake
Calamaria,linnaei,rear-fanged,unclear toxicity,???,Linne's Dwarf Snake
Calamaria,longirostris,rear-fanged,unclear toxicity,???,Long snouted Reed Snake
Calamaria,lovii,rear-fanged,unclear toxicity,???,Lovi’s Reed Snake
Calamaria,lumbricoidea,rear-fanged,unclear toxicity,???,Variable Reed Snake
Calamaria,lumholtzi,rear-fanged,unclear toxicity,???,Lumholz's Reed Snake
Calamaria,margaritophora,rear-fanged,unclear toxicity,???,Bleeker's Dwarf Snake
Calamaria,mecheli,rear-fanged,unclear toxicity,???,Mechel's Reed Snake
Calamaria,melanota,rear-fanged,unclear toxicity,???,Kapuas Reed Snake
Calamaria,modesta,rear-fanged,unclear toxicity,???,Yellow spotted Reed Snake
